comment_id,text,author,likes,replies,time,time_parsed
UgyVfqA9VEHApd1oY4l4AaABAg,"masalah intinya itu dollar naik rupiah turun mempengaruhi kita rakyat gak sih? kalo aku rakyat bawah sih gak sih? malah yg tkw desa2 suka pada kirim uang ke indo,, yg rugi kan yg beli sesuatu di luar negeri yg suka barang luar,, mungkin dengan rupiah melemah di banding dollar,, malah membuat rakyat membeli produk negeri sendiri,, kalo kita masih mendewakan dollar,, kita boneka ASSSS.. jadi cecunguk mereka yang mudak di kendalikan,..",@studio28channel94,0,,3 minggu yang lalu,1779546140.388413
Ugy7tveO2vRXJ50wMvt4AaABAg,"98-2013 stabil, 2014-2026 naek

Hmmm mulai era nya sapa tuuhh 👀",@alfandosavant4639,0,,3 minggu yang lalu,1779546140.388413
UgxKS040UJYAHS2EXRl4AaABAg,"trump pidato atau bercuit di x dolar us saham us naik
kalau indo..........🫢",@msbnjklbnmjkln4482,0,,3 minggu yang lalu (diedit),1779546140.388413
UgwUZo2DvfD1Vcrbowx4AaABAg,"Makin tipis rambut pala, ko.",@KLP36912,0,,3 minggu yang lalu (diedit),1779546140.388413
UgzAG-hWccQCrP7l_C54AaABAg,"Selama niatnya Prabowo dan si gibran mau menggemukan dompet mereka dan kroninya melalui jabatan publiknya, rakyat nggak penting dan bangsa nggak penting. Iya kan koh? Kembali ke NIAT PEJABAT PUBLIKNYA.",@zakiyahmd6358,0,,3 minggu yang lalu,1779546140.388413
UgynngZ68uK5SLCDxt94AaABAg,"Cepat jual dolar, peningkatan usd hanya fluktuasi tahunan krn permintaan melonjak ken masyarakat dan pemerintaj memerlukannya u ibadah haji. Saya sdh mengamatinya bertahun tahun.🙏",@sukseshadi4013,0,,3 minggu yang lalu,1779546140.388413
UgzMzb-SnVVYiLqxZPl4AaABAg,"1. Korupsi
2. Perizinan ribet
3. Kepastian hukum (peraturan berubah2)",@s10pluszulyzal79,0,,3 minggu yang lalu,1779546140.695345
Ugy2ZH3L0VM3kWf9dZ14AaABAg,UP,@samprantoevesus.s8963,0,,3 minggu yang lalu,1779546140.696345
Ugxl2eqJCz-LUijuULV4AaABAg,Karena emang gak ada political will dari negara sendiri.,@Guzmotion,0,,3 minggu yang lalu,1779546140.697345
UgzG1Qdh9GE1qKQJMDF4AaABAg,"😂 maka nya kalau ada calon wakil negara nyogok uang 50 ribu tuh jangan di ambil. 
 Ya menderita nya 5 taun",@mountaintiger13-p9j,0,,3 minggu yang lalu,1779546140.697345
